Date,MSFT
4/8/19,how to approach microsoft stock as the rally softens 
4/8/19,google to launch new devices boost smartphone presence 
4/8/19,intuit inc intu ex dividend date scheduled for april 09 2019 
4/8/19,technology sector update for 04082019 dxc acn tdc msft aapl ibm csco goog 
4/8/19,bear of the day gamestop gme 
4/8/19,eu data supervisor probes eu bodies software deals with microsoft 20190
4/8/19,european data supervisor investigates microsoft software used by eu 20190
4/8/19,european data supervisor investigates microsoft contracts with eu bodies 20190
4/8/19,softbankbacked grab seeks another 2 bln funding in expansion drive 20190
4/8/19,softbankbacked grab targets 2 bln more in funding this year in big business push 20190
4/7/19,microsoft could evolve into shopifys newest competitor 
4/6/19,us stockssp posts 7day winning streak as jobs data allay economic fears 20190
4/6/19,sp posts 7day winning streak as jobs data allay economic fears 20190
4/6/19,wall street rises as jobs data allay economic concerns 20190
4/6/19,us stockswall street rises as jobs data allay economic concerns 20190
4/5/19,is ishares msci acwi low carbon target etf crbn a strong etf right now 
4/5/19,amazon to launch earbuds up its game against aapl amp others 
4/5/19,salesforce crm invests in onfido to boost ai capabilities 
4/5/19,the zacks analyst blog highlights amazon walmart target alphabet and microsoft 
4/5/19,wall street rises on jobs data trade optimism 20190
4/5/19,us stockswall street rises on jobs data trade optimism 20190
4/5/19,kkr plans ipo for swiss group softwareone 20190
4/5/19,us stockswall street chugs higher on jobs data trade optimism 20190
4/5/19,wall street chugs higher on jobs data trade optimism 20190
4/5/19,us stocksrebound in job growth pushes wall st higher trade hopes add to optimism 20190
4/5/19,rebound in job growth pushes wall st higher trade hopes add to optimism 20190
4/5/19,rare overtime protest by china tech workers goes viral 20190
4/4/19,noteworthy thursday option activity okta cree msft 
4/4/19,pompeo urges france not to approve digital services tax 20190
4/4/19,if big tech doesnt self regulate governments will do it for them 
4/4/19,us stockssp 500 dow advance with trade talks in focus 20190
4/4/19,sp 500 dow advance with trade talks in focus 20190
4/4/19,us stockssp 500 edges higher with trade talks in focus 20190
4/4/19,sp 500 edges higher with trade talks in focus 20190
4/4/19,retail tech partnerships gain steam should amazon worry 
4/4/19,amazon plans for indonesian region to boost base in apac 
4/4/19,xlk ashs big etf inflows 
4/4/19,akamai inks deal with microsoft for an undisclosed amount 
4/4/19,4 stocks to shine as cloud gaming space gets hotter this year 
4/4/19,oracle netsuite ups ante in erp market with new capabilities 
4/4/19,us stockssp pauses with trade talks in focus nasdaq set to end 5day rally 20190
4/4/19,sp pauses with trade talks in focus nasdaq set to end 5day rally 20190
4/4/19,technology sector update for 04042019 aapl evop dox msft ibm csco goog 
4/4/19,walmart to boost grocery shopping with googles voice support 
4/4/19,sp wavers with uschina trade talks in focus 20190
4/4/19,us stockssp wavers with uschina trade talks in focus 20190
4/3/19,3 tech stocks that will raise their dividends in 2019 
4/3/19,after hours most active for apr 3 2019 cmcsa bbd parr bac cnhi ebay msft ual aes syf achc exel 
4/3/19,5 recent deals by alibaba are set to affect baba stock 
4/3/19,what is a blue chip stock 
4/3/19,what is a blue chip stock1 
4/3/19,what you need to know about microsofts gaming business 
4/3/19,voo utsl big etf inflows 
4/3/19,will gamestop ever turn things around 
4/3/19,when all the hoopla dies down lyft stock is a buy on the dip 
4/3/19,adobe and microsoft team up to challenge salesforce 
4/2/19,a new chapter begins for blackberry as its turnaround bears fruit 
4/2/19,spy psmg big etf outflows 
4/2/19,google updates gmail bolsters e mail client space reach 
4/2/19,western digitals memory drive powers amds epyc processors 
4/2/19,microsofts xbox plans are bigger than hardware 
4/2/19,googl aapl msft amp amzn look to keep up with the edtech fad 
4/2/19,technology sector update for 04022019 sfet nvmi it msft aapl ibm csco goog 
4/2/19,facebook fb may get a news tab soon should apple worry 
4/2/19,microsoft bmw launch industrial cloud technology partnership 20190
4/1/19,microsoft msft gains but lags market what you should know 
4/1/19,after hours most active for apr 1 2019 czr fitb rdwr msft aapl qqq 
4/1/19,why microsoft stock could race to 125 
4/1/19,wall street sees best quarter in a decade 5 winners 
4/1/19,technology sector update for 04012019 frsx eric nok msft aapl ibm csco goog 
4/1/19,where microsoft is making inroads with blockchain 
3/31/19,3 must own cloud stocks for the next 10 years 
3/31/19,this billionaire has sold more berkshire hathaway stock than anyone else in history 
3/30/19,microsoft and adobe join forces to win market share from salesforce 
3/30/19,slack ipo what you should know before the messaging platform goes public 
3/29/19,after hours most active for mar 29 2019 fold qqq xog aaba vxus msft 
3/29/19,5 stock market predictions for the second quarter 
3/29/19,latam cloud space boom puts spotlight on amzn googl amp others 
3/29/19,microsoft adobe and sap bolsters new capabilities in odi 
3/29/19,technology sector update for 03292019 dpw prgs vjet msft aapl ibm goog csco 
3/29/19,turtle beach gaming headset sales soar should google worry 
3/28/19,cloudera cldr announces two edge data management solutions 
3/28/19,top etf picks for your ira 
3/28/19,3 top tech stocks to trade right now 
3/28/19,10 tech stocks that transformed their business 
3/28/19,apples troubles escalate rare apology issued 
3/28/19,amazon aids redshifts performance with concurrency scaling 
3/28/19,is it time to catch the cloudera falling knife 
3/28/19,technology sector update for 03282019 qtna on acn plug msft aapl csco ibm goog 
3/28/19,the new microsoft partnership underscores why adobe stock is a winner 
3/28/19,us stocks on the movepvh corp movado group lululemon athletica proteon therapeutics 20190
3/27/19,uber lyft other hot ipos amp etfs what you need to know part ii 
3/27/19,after hours most active for mar 27 2019 tal v bili coty mrk bzun irbt pfe rxn qqq msft mchi 
3/27/19,lyfts ipo why institutional investors cant get enough 
3/27/19,ethical question takes center stage at silicon valley summit on artificial intelligence 20190
3/27/19,the zacks analyst blog highlights apple microsoft intuit hewlett packard and cisco systems 
3/27/19,3 reasons to buy microsoft stock on any weakness 
3/27/19,technology sector update for 03272019 scwx aapl qcom sne msft ibm csco goog 
3/27/19,democratizing blockchain beyond bitcoin tech giants to gain 
3/27/19,adobe microsoft combine to take on salesforces crm dominance 
3/27/19,fearful of fake news blitz us census enlists help of tech giants 20190
3/26/19,microsoft msft gains but lags market what you should know 
3/26/19,noteworthy tuesday option activity pro msft mcd 
3/26/19,etfs to ride on share buyback craze 
3/26/19,3 tech stocks for dividend investors to buy right now 
3/26/19,technology sector update for 03262019 ftnw mndo iq msft aapl ibm csco goog 
3/26/19,activision blizzard inc atvi ex dividend date scheduled for march 27 2019 
3/26/19,why satya nadella may be techs best ceo 
3/26/19,adobe microsoft to take on salesforces marketing software with linkedin as a weapon 20190
3/25/19,nintendo reportedly working on two new switch models for 2019 
3/25/19,best etfs for 2019 the global x robotics and ai etf powers ahead 
3/25/19,10 tech stocks with key products that face an uncertain future 
3/25/19,spy msft aapl brkb etf inflow alert 
3/25/19,why apple stock could get a massive lift by 2021 
3/25/19,ibm cloud to aid remotemyapp enhance vortex gaming service 
3/25/19,the failure of americas health it system and amazons opportunity 
3/25/19,technology sector update for 03252019 ncty dsgx msft aapl ibm csco goog 
3/25/19,apple spotlights services with tv gaming and credit card offerings 20190
3/25/19,apple enters video streaming updates news game and payment apps 20190
3/25/19,bill gates urges afghanistan and pakistan to get to zero in polio fight 20190
3/24/19,telecom equipment provider avaya considers leveraged buyout 20190
3/24/19,abu dhabi aims to lure startups with investment in new technology hub 20190
3/23/19,4 hard to believe starbucks facts 
3/22/19,after hours most active for mar 22 2019 aeg ms qqq elan lly vips mar f jd intc msft amd 
3/22/19,googles gaming platform is not a reason to buy amd stock 
3/22/19,heres what to expect and hope for from the oculus quest 
3/22/19,apple rises on upcoming streaming event buzz amp device updates 
3/22/19,stock market news for mar 22 2019 
3/22/19,this is your best chance to get into zuora stock after its ipo 
3/22/19,technology sector update for 03222019 nok oss jks zuo msft aapl ibm csco goog 
3/22/19,googles stadia makes a mark should gaming players take note 
3/22/19,qqq jagg big etf inflows 
3/22/19,sap expands analytics offerings on sap cloud based platform 
3/22/19,technology sector update for 03212019 spi csiq mu msft aapl ibm csco goog 
3/21/19,googles stadia could be the long awaited netflix of games 
3/20/19,microsoft msft stock moves 011 what you should know 
3/20/19,sony stock has nothing to fear from alphabets stadia 
3/20/19,fang stocks what to expect in 2019 
3/20/19,video gaming industry warming up play these etfs 
3/20/19,googles new platform stadia wants to beat xbox playstation and pc at their own game 
3/20/19,nvidia ray tracing technology rides on adoption shares rise 
3/20/19,why salesforces stock continues to impress most investors 
3/20/19,will amds google stadia win pose a threat to nvidia gpu moat 
3/20/19,7 video game stocks on steep discount 
3/20/19,technology sector update for 03202019 smar tme msft aapl ibm csco goog 
3/20/19,3 exciting innovations made possible by 5g 
3/20/19,the zacks analyst blog highlights amazon microsoft twilio veeva and equinix 
3/20/19,google fined 17 bln for search ad blocks in third eu sanction 20190
3/19/19,better buy apple vs microsoft 
3/19/19,after hours most active for mar 19 2019 tfcfa tfcf lly brx twtr bac pfe ebay s msft cmcsa intc 
3/19/19,googles stadia leaves us with more questions than answers 
3/19/19,5 cloud stocks to help your portfolio fly 
3/19/19,noteworthy tuesday option activity jci adbe msft 
3/19/19,the zacks analyst blog highlights microsoft facebook synopsys and symantec 
3/19/19,what will you miss out on by overlooking cadence stock 
3/19/19,google is set to unveil cost effective game streaming service 
3/19/19,google announces browserbased streaming game service 20190
3/19/19,google announces stadia video game streaming service 20190
3/19/19,why now might be a good time to buy qqq 
3/19/19,3 video game stocks with superb growth potential 
3/19/19,technology sector update for 03192019 stne yext bita msft aapl csco ibm goog 
3/19/19,heres why walmart wmt is likely to keep its solid show on 
3/19/19,ai powered self driving robots are taking on a bigger role at walmart stores 
3/19/19,tech consortium flags more than 800 versions of new zealand attack video 20190
3/18/19,mondays etf with unusual volume pfm 
3/18/19,microsoft facebook team up for embedded optics technology 
3/18/19,how advanced technology can help save wildlife and the companies behind them 
3/18/19,ibm blockchain network to aid ncc simplify registry dealings 
3/18/19,2 reasons take two stock is the easy pick to own in the video game business 
3/18/19,mondays vital data aurora cannabis oracle and microsoft 
3/18/19,technology sector update for 03182019 pxlw qcom viot msft aapl ibm csco goog 
3/18/19,should wisdomtree us earnings 500 fund eps be on your investing radar 
3/17/19,why sony buying take two interactive wouldnt have made sense anyway 
3/16/19,battle of dividends apple vs microsoft 
